household_id,button_id,concept,num_modeling_events,num_spont_button_press
1656,22387,KISS,4,21
1656,22388,OTHER,12,29
1656,22389,OTHER,7,28
1656,22459,TREAT-ALL,8,124
1656,22502,OTHER,13,24
1656,22916,OTHER,5,26
1656,23251,ANIMAL-CAT,7,25
1656,23252,OTHER,61,38
1656,23362,WALK,51,31
1656,24028,YES,146,37
1656,24771,WAIT,9,8
1656,24772,PEE,8,9
1656,24773,POOP,1,0
1656,24866,POTTY,159,267
1656,24868,HI,9,40
1656,25226,COME,6,6
1656,25315,LET'S GO,54,18
1656,25713,TREAT-ALL,4,19
1656,26195,TOY-STUFFED ANIMAL,2,1
